speaker_name,speaker_role,speaker_party,intervention_language,original_language,date,year,debate_title,text,translated_text,topic_name,stance,mentioned_topics,summary
Pascale Gruny ,MEP,PPE,en,fr,24/11/2009,2009,"Multi-annual programme 2010-2014 regarding the area of freedom, security and justice (Stockholm Programme) (debate) Video of the speechesPV"," Mr President, Ministers, Commissioner, ladies and gentlemen, I will not repeat all of the key points made by my fellow Members in relation to justice and immigration, but I did wish to point out that a European judicial area can only be established by enhancing mutual confidence among Member States, since that will improve the principle of mutual recognition, the cornerstone of the Europe of justice. Considerable progress has been made over the last 15 years, but there are still many weaknesses. I am delighted that the Treaty of Lisbon was finally ratified by all of the Member States during the negotiation of this text. The European Parliament will be able to have an equal say with the Council on matters relating to justice and home affairs; democratic legitimacy will be increased for the benefit of the citizens. As rapporteur for the opinion of the Group of the European People’s Party (Christian Democrats) on behalf of the Committee on Petitions, I should like to stress that far too many complaints are referred to the Committee on Petitions concerning barriers to the freedom of movement of citizens within the European Union itself. I would also mention the problems linked to the mutual recognition of qualifications and to the right to social welfare benefits, as well as discrimination problems. The recognition of same-sex marriages, on the other hand, is an area that comes under the jurisdiction of the Member States. The Union must respect this national competence. I call on the European Commission to publish its guidelines as soon as possible so as to help the Member States’ authorities effectively combat breaches of the principle of free movement. Citizens must be able to move freely and to make full use of their rights in this area without internal borders. I am delighted to see that, in the resolution, the European Union’s anti-drug strategy has a place in the creation of this European judicial area. However, I hope that the European Union will show more initiative in this regard. Why does the Union not equip itself with new weapons for combating this growing trend, which affects our children at an increasingly early age? They are the future. What are we doing to protect them? Let us finally show some sense of pragmatism in our institutions! That is what our fellow citizens expect from us.",,European judicial area,supportive,"justice and immigration, freedom of movement, EU anti-drug strategy","The speaker supports the establishment of a European judicial area by enhancing mutual confidence and improving the principle of mutual recognition, while also addressing issues related to freedom of movement and the EU anti-drug strategy."
Ádám Kósa ,MEP,PPE,en,hu,15/12/2009,2009,"Draft general budget of the European Union for the financial year 2010 as modified by the Council (all sections) - Draft amending budget No 10/2009 of the European Union for the financial year 2009, Section III – Commission - Mobilisation of the Flexibility Instrument - Amendment to the multiannual financial framework 2007-2013: financing energy projects under the European Economic Recovery Plan (debate) Video of the speechesPV"," My colleague from the Group of the European People’s Party (Christian Democrats), Mr Surján, and Mr Maňka have completed an important task. Just as with a budget debate in any national parliament, we also need to make it quite clear in this House what a draft budget specifically contains and the message which this conveys to society. In spite of the fact that there was no mention of accessibility in the report, I would like to draw your attention to the following: based on the decision made by the General Affairs Council on 26 November, the EU has joined the United Nations Convention on the Rights of Persons with Disabilities as a regional organisation. In light of this and in accordance with paragraph 43 and the provisions contained in Appendix 2 of the report, we should welcome the joint declaration made on the policy on buildings. However, it is very important that accessibility is included in the case of construction and other infrastructure investments as well, in addition to complying with the other important requirements (e.g. energy savings). The additional costs for accessibility are always much higher. As part of this, it is of paramount importance that the European Parliament also considers the visually impaired with regard to safety requirements. For instance, when designing buildings and getting them ready for use, clearly visible signs should be used, along with tactile floor markings to help the visually impaired find their way. In addition, in connection with language rights, I would consider it important that along with making buildings accessible, documents (including electronic versions) should also contain appropriate information about how the visually impaired can gain access (what the recommended software packages are).",,budget debate,neutral,"EU budget, accessibility for visually impaired, UN Convention on the Rights of Persons with Disabilities","The speaker discusses the EU budget, emphasizing the importance of clear communication about its contents and societal message, and advocates for the inclusion of accessibility measures, particularly for the visually impaired, in building design, infrastructure investments, and official documents."
"Jacek Protasiewicz, ",MEP,PPE,en,pl,15/07/2009,2009,Presentation of the work programme of the Swedish Presidency (debate) Video of the speechesPV," Mr President, I would very much like to thank Prime Minister Reinfeld for including in his priorities the need to develop cooperation with our Eastern neighbours. I would also like to thank him for Sweden’s engagement in development of the Eastern Partnership. In this context I would like to point out that in the next six months, we as the European Union and Sweden as the Presidency will have to face up to problems relating to the disregard of human rights in Belarus. For six months now, three entrepreneurs, Mr Avtukhowich, Mr Leonov and Mr Osipienko, have been held in detention and have not been able to obtain a just verdict. Of 12 young activists who took part in a demonstration in January 2008, 11 were given custodial sentences, and several days ago one was sentenced to a year in prison. Prime Minister, in the next six months please pay attention to the question of breaches of human rights in Belarus.",,Eastern Partnership,supportive,"human rights in Belarus, Belarus detentions, EU-Sweden cooperation","The speaker thanks the Prime Minister for prioritizing cooperation with Eastern neighbors and Sweden's engagement in the Eastern Partnership, while urging attention to human rights issues in Belarus."
Alan Kelly ,MEP,S&D,en,en,22/10/2009,2009,Explanations of voteVideo of the speechesPV,"Dairy farmers are under serious pressure right now. In Ireland, where the dairy industry is strategically important, almost every dairy farmer in 2009 will be making a loss. This is not a sustainable situation for one of Europe's key industries. I voted on today’s amendment to show solidarity with the farming community at a time of crisis. My only regret is that we are not voting to give them EUR 600 million instead of EUR 300 million as was originally suggested by this house. However the vote on that matter was blocked at committee level by the centre right parties in the parliament. EUR 300 million is better than nothing but more drastic action is needed in future to support this industry.",,dairy farmer support,supportive,"dairy industry crisis, agricultural policy, EU budget","The speaker expresses solidarity with struggling Irish dairy farmers and supports an amendment to provide financial aid, while advocating for more substantial future support for the industry."
"Göran Färm, Anna Hedh, Olle Ludvigsson and Åsa Westlund ",MEP,S&D,en,sv,17/12/2009,2009,Explanations of voteVideo of the speechesPV," We Swedish Social Democrats have decided to vote today in favour of the second tranche of financing for the European Economic Recovery Plan. The plan is an important step in our joint efforts to enable the EU to recover from the financial and economic crisis. However, a large part of the recovery plan involves investments in CCS technologies. We are in favour of further research in this area, but we feel that we should not focus too much on this technology until CCS has been compared with other existing methods of reducing carbon emissions. Such a comparison would enable us to invest the EU’s resources where they would be of most benefit in combating climate change. We support the budgetary commitment and voted in favour of all the parts with the exception of the requirement to introduce permanent support for the milk sector, which we voted against.",,European Economic Recovery Plan,supportive,"CCS technologies supportive, climate change supportive, milk sector critical","The Swedish Social Democrats support the second tranche of the European Economic Recovery Plan, advocating for a balanced approach to CCS technology investment and opposing permanent support for the milk sector."
David Martin ,MEP,S&D,en,en,21/10/2009,2009,Explanations of voteVideo of the speechesPV,"I voted in favour of the resolution, and strongly support calls to prevent media monopolies operating in Europe. Freedom of information is a hugely important issue, and given the strength of feeling and close vote, I hope it is an issue we will return to. I was disappointed that after the amendments were rejected, we were unable to pass the final resolution.",,media monopolies,supportive,"freedom of information, European media regulation","The speaker voted in favour of a resolution to prevent media monopolies in Europe, emphasizing the importance of freedom of information."
Paweł Samecki,EU Commissioner,,en,en,17/12/2009,2009,Mutual recognition of professional qualifications (debate) Video of the speechesPV,"Mr President, I would like to thank the Members of the Committee on the Internal Market and Consumer Protection for raising these important questions. Before responding to the individual questions, let me start with an overview. The objective of the Professional Qualifications Directive is to facilitate the free movement of our citizens in the internal market. Two years after the end of the transposition period, transposition is complete in 22 Member States, and four Member States will hopefully deliver by the end of the year. At this stage I am, however, concerned about Greece, from which we have not received any transposition measure yet. Let me now turn to the first question. The transposition has constituted a challenge for Member States mainly because it affects more than 800 different professions. These professions have often even been regulated in federal or regional laws. However, this cannot be an excuse for any delays, and the Court of Justice has not accepted such delays in six judgments so far. Concerning the second question, the main problems relate to the health professions and architects, where a higher degree of harmonisation of training requirements at European level is in place. Problems also occur in professions with higher levels of cross-border mobility of workers such as teachers or tourist guides. On the third question, the priority of the Commission is to ensure correct and consistent implementation of the directive. To this end, we have developed a code of conduct on administrative practices and a user guide addressed to citizens, which will also promote more consistency. As to the obstacles which Solvit identified, we are fully aware of problems on the ground, such as delays occurring in the recognition procedure, lack of response from the national competent authorities, unsubstantiated decisions, lost files, etc. Sometimes, erroneous information is even given to migrants and they are invited to follow wrong procedures. However, the Solvit network has proven to be effective in solving many of these problems. But there is not only Solvit. National contact points are now in place in all Member States to inform and assist citizens, and the Commission expects them to be even more active in the future. Moreover, the Internal Market Information System has also provided a medium for supporting more than 1 200 information exchanges for many of the regulated professions this year. This has brought about enhancements in day-to-day administrative cooperation between Member States. Finally, on the last question, the Commission is not in a position to assess whether there is a need for reform at the moment. This will be done during an ex post evaluation exercise foreseen by the directive. Our intention is certainly to respect the timetable set in the directive. It will be up to the next Commission to decide how to take this forward.",,Professional Qualifications Directive,neutral,"free movement, internal market, administrative cooperation","The speech discusses the transposition and implementation of the Professional Qualifications Directive, noting progress in most member states but concerns about Greece, and outlines measures taken by the Commission to address challenges and ensure consistent application."
Werner Kuhn ,MEP,PPE,en,de,24/11/2009,2009,Preparation of the Copenhagen Summit on climate change (debate) Video of the speechesPV," Madam President, ladies and gentlemen, for all the noble objectives for the Copenhagen conference – when it comes to climate protection, we must not forget, of course, that our Europe, its companies and businesses, are in competition every day with the major economic and trading locations of North America and South-East Asia. This relates just as much to industrial production and energy generation, but also, to a special extent, to transport. Many transport firms are also global players. If they are to be competitive, all those involved in this area must have the same opportunities. What that means is that climate protection does cost money. We, in Europe, really are the pioneers when it comes to cutting greenhouse gases in the transport sector. I would simply remind you all on this point that we, in this House, together agreed that we were going to undertake to include aviation, in particular, but also maritime transport, in emissions trading. Rail transport has been mentioned. Rail transport, via the environmental levy on energy generation, has certainly been included in CO2 reduction measures, while road transport is included via various potential forms of road charging. We also have to fulfil European Union technical requirements in relation to catalytic converters through the tightened-up Euro standards Euro 4 and Euro 5. If we want to achieve something in maritime transport and aviation, however, it is necessary to re-intensify our negotiations with the 20 Annex I states. What has taken place in aviation with ICAO has so far failed to produce any results. We must push on with our activities in this regard. It will be very important that this is discussed at the Copenhagen conference and the same applies to maritime transport which, of course, is also – when you look at the specific energy consumption per tonne and kilometre – very environmentally friendly. In so doing, it is necessary, however, for us to also reach agreement with the IMO on joint concepts.",,climate protection competitiveness,neutral,"climate protection, greenhouse gas emissions, transport sector emissions","The speaker discusses the balance between climate protection goals and the competitiveness of European industries, particularly in the transport sector, advocating for international cooperation and emissions trading."
Joanna Senyszyn ,MEP,S&D,en,pl,22/10/2009,2009,Explanations of voteVideo of the speechesPV," I fully support the resolution on the situation as regards SIS II and VIS. The development of SIS II has overrun, and numerous technical hitches have already delayed the entry of new countries into the Schengen system. This calls for constant monitoring by the European Parliament of progress in the establishment of SIS II and VIS. SIS II is a key political project for the entire Union. Its long-awaited implementation and proper operation is essential for the further expansion of the Schengen area, and for the resulting free movement of people within the EU by the next citizens to be entitled to do so (Bulgaria, Romania, Cyprus and Liechtenstein). SIS II is also a key element in combating crime and illegal immigration. Polish border guards managed to detain 50% more illegal aliens in the first half of 2008 compared with the same period the previous year thanks to Poland joining the Schengen area (from a 2008 report of the Ministry of the Interior and Administration). Over 350 people wanted under the European Arrest Warrant (EAW) have been arrested on Polish territory and some 600 people wanted by the Polish justice system have been detained abroad. The database of missing children, which was not in SIS I and is planned for SIS II, is particularly important. Our trustworthiness in the eyes of our citizens depends on major projects such as these. A united Europe cannot afford further delays and negligence.",,SIS II and VIS,supportive,"Schengen system expansion, combating crime, illegal immigration","The speaker fully supports the resolution on SIS II and VIS, emphasizing its importance for the Schengen area expansion, free movement of people, combating crime and illegal immigration, and highlights the need for the European Parliament to monitor its progress due to past delays and technical issues."
Carl Schlyter ,MEP,Greens/EFA,en,sv,20/10/2009,2009,Climate change and developing countries in the framework of the UN Conference on Climate Change in Copenhagen (debate) Video of the speechesPV," Mr President, Mr Carlgren, you come here time after time with fine speeches, but what about the actual content? In developing countries, the land is drying out and diseases are spreading. There are growing numbers of climate refugees. Do you ask them to smile in the face of death? You can turn around the pessimism that you on the Council are yourselves creating by making some specific promises. So I wonder: will you offer EUR 35-40 billion a year in new aid for climate measures? Will you rule out nuclear power and carbon capture and storage from projects qualifying for assistance? Will you accept compulsory licensing of important green technology to the poorest countries? Will you save the forests by refusing the market-based mechanisms of REDD? If you can promise all this, then you will also achieve a 40% reduction – and then we will all leave here with a smile on our faces.",,climate change aid,critical,"climate change, developing countries, nuclear power",The speaker criticizes the Council for making fine speeches about climate change without offering concrete financial aid and specific policy commitments to developing countries.
Oreste Rossi ,MEP,ID,en,it,08/10/2009,2009,Freedom of information in Italy (debate) Video of the speechesPV," Mr President, ladies and gentlemen, this morning I really heard everything being thrown at the Italian Prime Minister except for the fact that, thanks to his entrepreneurial activities, he provides jobs for tens of thousands of people. Excuse me if that seems a negligible factor at a time like this. Those who maintain that there is no freedom or plurality of information in Italy are lying, and they know it. I invite you, ladies and gentlemen – not just the Italians among you, but the others too – to study the articles published, in any given month in 2009, in the three main national newspapers: Il Corriere, La Stampa and La Repubblica. You will thus be able to realise that, depending on the month, 60-70% of those articles are against both the majority government and the ministers that make up the government. The percentage of articles that were negative towards the government and, in this case, Minister Maroni, in the month after the adoption of the security package, rose to 80%. As far as television is concerned, I invite you to watch the programmes by Giovanni Floris, Michele Santoro and Fabio Fazio: only then will you be in a position to vote on this resolution.",,Italian Prime Minister,supportive,"Italian economy, freedom of information, media bias",The speaker defends the Italian Prime Minister by highlighting his role in job creation and refutes claims of a lack of freedom of information in Italy by citing newspaper article negativity towards the government.
Diane Dodds ,MEP,NI,en,en,20/10/2009,2009,Climate change and developing countries in the framework of the UN Conference on Climate Change in Copenhagen (debate) Video of the speechesPV,"Madam President, there has been much talk in this Chamber this morning about developing countries playing their part in tackling climate change, and that is indeed true. Like many others, I would draw attention to the fact that, in order for this to happen in regions of great poverty, this House, the Council and the Commission will have to take cognisance of the cost involved and there will have to be a strategy in order to tackle this. However, I would not like to leave this House without saying that, in areas like my own in Northern Ireland, areas of high energy costs, there also needs to be some work done to take account of those who are disadvantaged – where there are high levels of fuel poverty amongst disadvantaged people, where we have an economic base which relies on small business – when considering the costs of tackling climate change.",,climate change costs,critical,"developing countries, fuel poverty, Northern Ireland economy","The speaker acknowledges the need for developing countries to address climate change but emphasizes the significant costs involved and the need for strategies that also consider disadvantaged regions with high energy costs and fuel poverty, such as Northern Ireland."
Thijs Berman ,MEP,S&D,en,nl,20/10/2009,2009,Climate change and developing countries in the framework of the UN Conference on Climate Change in Copenhagen (debate) Video of the speechesPV," Mr President, in the Pacific region, thousands of people are having to move because their islands are being flooded; in Sudan, the livestock is dying of thirst. Everyone has seen the pictures, and the most important thing with regard to these and other effects of climate change is that the polluter must pay. In Copenhagen this December, the world faces the historic task of giving substance to those words. However, Oxfam calculates that, to date, three quarters of changes in poor countries have been made by the countries themselves. Meanwhile, the oil disappears unhindered from these developing countries, often without fair payment reaching their treasuries. In the future, climate change will cost developing countries more than EUR 100 billion per year. This money goes not towards development but merely towards creating the preconditions for development, as a Pacific island may just escape submersion thanks to climate policy, or desertification may be prevented, so that people can continue to live and work where they want. Of course, there are climate measures that can also stimulate the development of poor countries. Planting trees helps to combat desertification. At present, however, money for climate policy comes mainly from development-policy funds, and that is unacceptable. ‘No new funds,’ says Commissioner De Gucht. Fair enough, but then it should be ensured that the existing funds are topped up. The developing countries are now suffering a triple blow. Most EU countries are failing to keep their own promises with regard to development policy, the economic crisis has meant that less is being invested in poor countries, and the development budget is decreasing. A fourth point could be added: the poor countries themselves are having to pay for the climate damage they have not caused. We must break through this logic in Copenhagen by introducing new financing mechanisms. Development policy must also be coordinated with climate policy from now on. The two will have to be aligned with each other as never before. The most important thing is that the developing countries themselves be given a say when it comes to spending the Climate Fund transparently. This fund must be introduced, therefore, for the EU and for the world.",,climate change financing,critical,"climate change, development policy, polluter pays principle","The speaker argues that developing countries are unfairly bearing the financial burden of climate change impacts and calls for new financing mechanisms and better coordination between climate and development policies, ensuring developing countries have a say in how funds are spent."
Jan Olbrycht ,MEP,PPE,en,pl,26/11/2009,2009,Presentation of the Court of Auditors’ annual report - 2008 (debate) Video of the speechesPV," Mr President, the debate on the vote of approval is more interesting each year, as Members of Parliament probe ever deeper into the details. In this debate it is important, firstly, to ascertain the facts, secondly, to explain the causes of those facts, and, thirdly, to draw conclusions. As far as the facts are concerned, then it is very interesting for us as Members of Parliament to note the methods employed by the Court of Auditors. However, it is even more interesting that in the results section, the European Commission does not agree with the diagnosis made by the Court of Auditors. During the debate, we would like to clarify the differences of opinion between the Commission and the Court of Auditors. Secondly, it is very important to ascertain if we are dealing with mistakes, if we are dealing with improprieties, or if we are dealing with crimes. Lumping everything together blurs the image, and confuses discussion on the subject as to whether we need to correct mistakes or call in the police. As for explaining the causes, I would like to draw everyone’s attention to the fact that the document which we have before us shows that we have very serious improprieties in the public procurement system. In relation to this, the problem is not only a question of financial movements, but is also one of explaining and simplifying matters related to public procurement. The final matter concerns the conclusions. There may be very different kinds of conclusions. Firstly, conclusions concerning control methods, conclusions concerning responsibility, but also conclusions concerning future policy. They are the easiest. It is very easy to draw the conclusion that since the money is being spent incorrectly, and we still have doubts in this area, then the best thing to do is to reduce spending on that area of policy. We should be very careful of such conclusions, because financial monitoring is one thing, monitoring of policy effectiveness is another, and a decision on future directions of EU activity is yet another.",,Court of Auditors report,neutral,"public procurement, EU spending, policy effectiveness","The speaker outlines a three-step approach to analyzing the Court of Auditors report: establishing facts, explaining causes, and drawing conclusions, while highlighting disagreements between the Court and the Commission and cautioning against simplistic conclusions regarding spending reductions."
Charles Tannock ,MEP,ECR,en,en,21/10/2009,2009,The institutional aspects of the creation of a European external action service - Creation of a European external action service: State of the negotiations with Member States (debate) PV,"Mr President, as the Union seeks a broader role in international affairs, it arguably should have the tools to project our common values throughout the world, providing, of course, there is unanimity in all 27 Member States. But how will that role develop? Where will its limits be? We in the ECR Group believe, as an anti-federalist body, that foreign policy must ultimately remain the preserve of our individual Member States. It is therefore of concern to us that the Lisbon Treaty, if it becomes law, appears to set in train a series of developments that could end up undermining that prerogative. The proposed European External Action Service must complement and not compete with or undermine Member States’ bilateral diplomatic activity and must draw its authority mainly from the Council and not from the Commission. Parliament must exercise its rights to scrutinise the EEAS and shape its budget. Given that there is much talk about EU embassies in the Brok report, I would like the Commission once again to repeat the assurances it gave me a year ago that EEAS missions or delegations will not be called embassies. To call these missions embassies would compound the fear that the EU is seeking all the trappings of a sovereign state.",,European External Action Service,critical,"EU foreign policy, Lisbon Treaty, Member State sovereignty","The speaker expresses concern that the proposed European External Action Service, as outlined in the Lisbon Treaty, could undermine Member States' foreign policy prerogatives and duplicate existing diplomatic efforts, advocating for its authority to stem primarily from the Council and for parliamentary scrutiny."
Satu Hassi,MEP,Greens/EFA,en,fi,24/11/2009,2009,Preparation of the Copenhagen Summit on climate change (debate) Video of the speechesPV," Mr President, ladies and gentlemen, Minister, the meeting at Copenhagen will be the most important conference in mankind’s history. It concerns the future of the entire human race. The importance of the meeting is highlighted by the fact that, as it approaches, the publicity game has even been enough to blacken the reputations of climate researchers. There is, however, no time to lose: global emissions have to be reduced within the next 10 years. The ministers and prime ministers that convene at Copenhagen must take their responsibility seriously and make decisions to ensure that the temperature of the earth will not rise by more than two degrees. The decision must embrace all the main questions, it must be binding, and it must include a binding timetable for the drafting of an eventual international agreement. I am pleased that Minister Carlgren also spoke of a binding decision and a binding international agreement. The agreement needs to contain long-term emission targets, though it is even more important to agree on emission limits for the year 2020. The cuts in emissions in the industrialised countries should be closer to 40%, rather than the 25% threshold. EU leadership is now crucially important, as before. The best way we can demonstrate leadership is by committing now to a 30% cut in emissions for 2020 and by making a clear offer of financing to the developing countries. As the Committee on the Environment, Public Health and Food Safety said, the EU’s share of funding should be around EUR 30 billion a year up to 2020. Moreover, as Minister Carlgren has said, the recession has made it cheaper to reduce emissions. We need to take advantage of this opportunity and raise our sights. I want to remind those who are keen to question the whole notion of climate protection that the planet will not wait. You cannot say to the planet: ‘Could you please give us another year or two; there’s a recession on’, or ‘The climate sceptics made us hesitate’. Climate change is progressing according to the laws of physics and chemistry, and we will take responsibility for our decisions and, furthermore, for not doing anything at all. (Applause)",,climate change,supportive,"global emissions reduction, EU leadership on climate, climate finance","The speaker emphasizes the critical importance of the upcoming Copenhagen conference for addressing climate change and urges ministers to make binding decisions with ambitious emission reduction targets and financial commitments to developing countries, highlighting that inaction has severe consequences."
Bairbre de Brún,MEP,GUE/NGL,en,ga,24/11/2009,2009,Preparation of the Copenhagen Summit on climate change (debate) Video of the speechesPV," Mr President, I completely agree that we must push to find a legally binding agreement in Copenhagen. The agreement must be strong enough to combat the challenge of climate change and, at the same time, it must be balanced and fair with regard to developing countries. Industrialised countries must promise a reduction of at least 40% in greenhouse gas emissions by 2020 and a reduction of between 80% and 95% by 2050 compared to 1990 levels. By 2020, the EU must commit EUR 30 billion a year as climate funding for developing countries, on top of foreign development aid. Unfortunately, there are people in Europe who are very interested in using other countries’ reluctance to take the necessary steps as an excuse for the EU not to fulfil its obligations. This type of approach is extremely short-sighted. Irrespective of the results of the Copenhagen talks, the EU must carry on and lay down and implement effective targets for the reduction of emissions, develop new clean technologies and commit itself to climate justice, so that developing countries will not be saddled with reaping what the developed world sowed.",,climate change agreement,supportive,"greenhouse gas emissions, climate funding, clean technologies","The speaker advocates for a strong, fair, and legally binding climate change agreement in Copenhagen, with ambitious emissions reduction targets for industrialized countries and significant climate funding for developing nations, regardless of other countries' actions."
Ioan Mircea Paşcu ,MEP,S&D,en,en,16/12/2009,2009,New EU action plan for Afghanistan and Pakistan (debate) Video of the speechesPV,"Madam President, the plan of action on Afghanistan and Pakistan adopted last October is, in itself, a good document. Its aim is to create the conditions for returning responsibility from the international community, including the EU, to the Afghan state, with the former in a support role. The same is envisaged by the US in the security sector. It is hoped that the additional 30 000 US troops will create a situation in which responsibility could be handed over to the Afghan forces by 2011 when the US withdrawal will commence. Even if both the EU and the US have similar aims, namely creating the conditions for the Afghan state to take responsibility for its own affairs, the timeframe for achieving those aims is inevitably different. Adequate security will have to be achieved by 2011, while state building will inevitably take longer. The question, then, is: supposing adequate security is either not achieved by 2011 or deteriorates again after the US pull-out, will the EU, already involved in state building, be ready to take over the task of providing security too? I think not – and then we have a problem.",,Afghanistan Pakistan plan,critical,"Afghanistan security, EU state building, US troop withdrawal","The speaker discusses the EU's plan for Afghanistan and Pakistan, questioning the EU's readiness to take over security responsibilities if the US withdraws in 2011 without adequate security being established."
Carlos Coelho ,MEP,PPE,en,pt,20/10/2009,2009,Explanations of voteVideo of the speechesPV," I support this agreement negotiated between the European Community and Antigua and Barbuda, establishing a visa exemption for entry and short stays in order to facilitate the movement of their citizens. EU citizens and nationals of Antigua and Barbuda who travel to the territory of the other contracting party for a maximum period of three months within a six- month period will be exempt from visa requirements. The exceptions are the United Kingdom and the Republic of Ireland, which are not bound by this agreement, and a territorial restriction with respect to France and the Netherlands, for which this agreement only relates to those countries’ European territories. I would point out that anyone who travels with the aim of carrying out a paid activity during a short stay cannot benefit from this agreement, and continues to be subject to the applicable rules of the Community and of each Member State in relation to the visa requirement or waiver and also access to employment. The agreement may be suspended or repealed, but that decision can only be made in relation to all the Member States. I also support the provisional implementation of the agreement pending its entry into force.",,visa exemption agreement,supportive,"EU-Antigua and Barbuda relations, Schengen Area, free movement","The speaker supports the visa exemption agreement between the EU and Antigua and Barbuda, which allows citizens of both parties to stay for up to three months without a visa, with specific exceptions for the UK, Ireland, and territorial restrictions for France and the Netherlands, while noting that paid activities are not covered."
Franz Obermayr ,MEP,NI,en,de,16/09/2009,2009,EU strategy for the Baltic Sea area (debate) Video of the speechesPV," Mr President, ladies and gentlemen, in theory, projects such as these on the regional promotion of cross-border cooperation are to be welcomed and make a great deal of sense. However, strategies often have the disadvantage that, although targets are set and even reached, sustainability is ignored, even during implementation. Sustainability must therefore be included right from the planning phase. It is therefore important when implementing this integrated strategy for the Baltic Sea area – a very important exemplary EU project – for regions and organisations to cooperate as a network, because these organisations know best what is important for them in the various sectors, such as nature, social structure and infrastructure; they know what to do for the best. This is an area with 100 million inhabitants and an investment budget of EUR 50 billion. We need to proceed very carefully here if we are to make a success of this pilot project. This pilot project is, as already mentioned, very important for other projects along the Danube, too, for the states bordering the Danube in central and south-east Europe.",,cross-border cooperation,supportive,"regional promotion, Baltic Sea area strategy, Danube projects","The speaker supports cross-border cooperation projects, emphasizing the need to integrate sustainability from the planning phase and ensure regional involvement for successful implementation, particularly for the Baltic Sea and Danube area initiatives."
Willy Meyer,MEP,GUE/NGL,en,es,16/12/2009,2009,New EU action plan for Afghanistan and Pakistan (debate) Video of the speechesPV," Madam President, Madam Vice-President designate, my group has never supported the strategy of the previous President of the United States, Mr Bush, in relation to Afghanistan. We never supported it and time has proved us right. Afghanistan currently has a corrupt, illegitimate government, there are innocent victims and the situation of women has not changed at all. It would therefore have been logical to change strategies, and we regret that President Obama has opted for a military solution, and intends to deploy an additional 30 000 troops. I believe that the European Union should not follow this line of action, because there is a real risk of creating a new Vietnam in the 21st century in Afghanistan. In Afghanistan, history has demonstrated that there can be no military solution. Cooperation must be increased and all efforts to find a diplomatic solution must be intensified. In the conflict zone itself and in geostrategic terms, we must opt for respect for international law through internal solutions in Afghanistan.",,Afghanistan strategy,critical,"Afghanistan strategy, military solution, diplomatic solution","The speaker criticizes the previous US strategy in Afghanistan and opposes President Obama's decision to deploy more troops, advocating instead for increased cooperation, diplomatic solutions, and respect for international law."
David Casa ,MEP,PPE,en,en,17/09/2009,2009,Explanations of voteVideo of the speechesPV,This is a proposal that amends the direct support schemes for farmers that are currently in place. Due to the fact that I am in agreement on the need for such amendments I have voted in favour.,,direct support schemes for farmers,supportive,direct support schemes for farmers,The speaker voted in favour of a proposal amending direct support schemes for farmers because they agree with the need for such amendments.
Nikolaos Salavrakos ,MEP,ID,en,en,26/11/2009,2009,Explanations of voteVideo of the speechesPV,"We vote against the motion for a resolution ‘The Commission’s 2009 enlargement strategy paper concerning the Western Balkan countries, Iceland and Turkey’ by Gabriele Albertini, because we believe that neither Turkey nor the former Yugoslav Republic of Macedonia shows any progress in meeting the Copenhagen criteria, nor do they demonstrate any political behaviour which would allow them to become EU members We hope to improve their efforts in order to meet the accession criteria, a fact that will be examined in the future. In any case, we do not wish to vote for a motion for a resolution that will give rise to vain hopes and will be used exclusively for internal consumption.",,Enlargement strategy paper,critical,"Turkey accession, Macedonia accession, Copenhagen criteria",The speaker votes against the 2009 enlargement strategy paper due to a lack of progress by Turkey and the former Yugoslav Republic of Macedonia in meeting EU accession criteria.
Derek Vaughan ,MEP,S&D,en,en,08/10/2009,2009,Explanations of voteVideo of the speechesPV,"I welcome the positive vote releasing funding for the Abruzzo earthquake victims. Our reaction to natural disasters, such as the devastation we saw in Italy, must go beyond the realm of politics. Acting to help victims of this catastrophe rebuild their lives, homes and futures is surely something that any Member of this Parliament with a shred of humanity will agree on. The EU Solidarity Fund allows us to act as a community to alleviate misery and suffering. Since it was established, the fund has been used to help people in more than half of EU Member States and over 20 disasters from flooding to forest fires, drought and volcano eruptions. I also note that the people of Wales have been among those to benefit from funding following the terrible floods of 2007. However, the fund’s revenues must be looked at and there is a strong case for allowing the fund to have its own resources so that other projects are not affected by the mobilisation of the fund. I hope that in some way, this money can work towards the reconstruction not only of buildings but also the communities which were destroyed.",,EU Solidarity Fund,supportive,"natural disasters, earthquake victims, community reconstruction","The speaker supports the release of funding for earthquake victims through the EU Solidarity Fund, highlighting its importance in responding to natural disasters and suggesting that the fund should have its own resources."
